iter	Passed	Remaining
0	168	168240
1	176	87831
2	184	61413
3	192	48026
4	201	40139
5	209	34695
6	217	30789
7	224	27835
8	232	25556
9	242	24014
10	250	22520
11	258	21250
12	265	20182
13	272	19215
14	280	18423
15	287	17670
16	295	17070
17	302	16524
18	310	16044
19	318	15598
20	325	15195
21	333	14816
22	341	14518
23	350	14266
24	361	14100
25	371	13903
26	378	13656
27	388	13476
28	400	13400
29	410	13264
30	418	13094
31	428	12957
32	437	12815
33	445	12654
34	455	12545
35	463	12413
36	471	12279
37	480	12155
38	489	12072
39	499	11990
40	509	11909
41	516	11789
42	524	11666
43	531	11556
44	539	11440
45	546	11337
46	554	11240
47	562	11159
48	571	11096
49	579	11007
50	587	10924
51	595	10854
52	603	10778
53	611	10704
54	619	10651
55	627	10586
56	636	10533
57	644	10471
58	651	10398
59	660	10343
60	668	10294
61	677	10252
62	685	10199
63	694	10161
64	703	10119
65	712	10089
66	722	10058
67	731	10026
68	740	9995
69	751	9988
70	761	9961
71	771	9941
72	781	9930
73	793	9929
74	803	9912
75	814	9901
76	823	9875
77	834	9863
78	847	9885
79	857	9858
80	866	9832
81	876	9817
82	885	9782
83	895	9762
84	904	9735
85	913	9705
86	921	9672
87	930	9644
88	938	9610
89	948	9592
90	958	9572
91	968	9555
92	977	9530
93	985	9501
94	994	9472
95	1002	9440
96	1010	9410
97	1019	9383
98	1027	9355
99	1036	9330
100	1044	9293
101	1052	9262
102	1060	9236
103	1069	9212
104	1076	9179
105	1085	9157
106	1093	9126
107	1100	9092
108	1107	9055
109	1115	9024
110	1122	8988
111	1129	8953
112	1136	8922
113	1143	8889
114	1151	8858
115	1158	8827
116	1166	8806
117	1174	8779
118	1181	8749
119	1188	8716
120	1196	8690
121	1203	8658
122	1210	8633
123	1218	8606
124	1226	8583
125	1233	8558
126	1241	8531
127	1248	8503
128	1254	8473
129	1262	8446
130	1269	8419
131	1277	8400
132	1285	8383
133	1294	8365
134	1301	8338
135	1308	8314
136	1315	8289
137	1323	8266
138	1330	8241
139	1337	8218
140	1346	8201
141	1354	8184
142	1362	8166
143	1371	8155
144	1380	8140
145	1391	8139
146	1400	8126
147	1410	8118
148	1419	8107
149	1427	8090
150	1436	8076
151	1444	8059
152	1452	8041
153	1459	8019
154	1466	7996
155	1474	7975
156	1481	7954
157	1489	7936
158	1496	7916
159	1504	7897
160	1512	7881
161	1520	7865
162	1527	7845
163	1535	7829
164	1543	7810
165	1550	7792
166	1557	7770
167	1565	7750
168	1573	7738
169	1581	7719
170	1588	7702
171	1596	7685
172	1604	7668
173	1612	7653
174	1620	7638
175	1628	7622
176	1635	7604
177	1643	7590
178	1653	7583
179	1662	7574
180	1671	7561
181	1680	7550
182	1688	7539
183	1698	7531
184	1707	7523
185	1716	7512
186	1725	7503
187	1735	7495
188	1747	7497
189	1759	7499
190	1767	7487
191	1779	7488
192	1788	7478
193	1799	7476
194	1812	7481
195	1821	7471
196	1833	7471
197	1840	7455
198	1851	7450
199	1862	7450
200	1870	7437
201	1879	7423
202	1888	7414
203	1897	7402
204	1905	7389
205	1916	7387
206	1925	7374
207	1934	7366
208	1942	7352
209	1950	7338
210	1960	7330
211	1969	7319
212	1977	7307
213	1987	7298
214	1995	7286
215	2003	7270
216	2011	7257
217	2018	7241
218	2027	7231
219	2035	7215
220	2043	7203
221	2051	7188
222	2059	7174
223	2067	7162
224	2076	7151
225	2083	7136
226	2092	7125
227	2099	7108
228	2107	7094
229	2115	7081
230	2123	7069
231	2132	7058
232	2140	7046
233	2147	7031
234	2155	7016
235	2164	7006
236	2173	6996
237	2181	6983
238	2189	6972
239	2198	6960
240	2205	6947
241	2213	6933
242	2221	6921
243	2230	6911
244	2239	6901
245	2247	6888
246	2255	6875
247	2262	6861
248	2271	6849
249	2280	6842
250	2289	6832
251	2300	6828
252	2307	6813
253	2316	6802
254	2323	6787
255	2331	6774
256	2339	6762
257	2347	6751
258	2356	6741
259	2365	6731
260	2374	6723
261	2384	6717
262	2392	6704
263	2400	6693
264	2408	6678
265	2415	6665
266	2424	6656
267	2433	6647
268	2442	6636
269	2449	6623
270	2457	6609
271	2465	6598
272	2474	6590
273	2484	6583
274	2492	6571
275	2500	6560
276	2508	6546
277	2517	6538
278	2525	6525
279	2532	6511
280	2540	6499
281	2547	6486
282	2555	6474
283	2562	6461
284	2572	6452
285	2581	6445
286	2591	6437
287	2600	6428
288	2608	6416
289	2617	6407
290	2624	6395
291	2634	6387
292	2643	6377
293	2651	6367
294	2661	6359
295	2670	6350
296	2680	6345
297	2688	6332
298	2696	6321
299	2705	6312
300	2713	6302
301	2722	6291
302	2729	6278
303	2735	6263
304	2746	6258
305	2756	6251
306	2764	6240
307	2772	6230
308	2780	6218
309	2788	6205
310	2797	6197
311	2806	6188
312	2814	6176
313	2822	6166
314	2830	6155
315	2839	6147
316	2848	6137
317	2857	6129
318	2866	6119
319	2874	6108
320	2882	6096
321	2889	6085
322	2898	6075
323	2906	6063
324	2913	6050
325	2921	6040
326	2931	6032
327	2940	6023
328	2948	6013
329	2956	6003
330	2965	5993
331	2973	5983
332	2980	5970
333	2990	5962
334	2999	5953
335	3007	5944
336	3017	5935
337	3025	5926
338	3033	5915
339	3043	5907
340	3050	5895
341	3059	5886
342	3067	5875
343	3076	5866
344	3089	5865
345	3098	5856
346	3105	5844
347	3114	5834
348	3121	5823
349	3130	5813
350	3139	5804
351	3148	5796
352	3156	5785
353	3164	5775
354	3174	5767
355	3183	5758
356	3192	5749
